自媒体	name	匹配度	总停留时长
玩车教授	途锐	36	14416.47243177195
玩车教授	比亚迪S7	34	4553.625353802005
玩车教授	马自达CX-9	34	5153.310831493249
玩车教授	宝马X6	34	10797.598538500082
玩车教授	雪铁龙C6	34	5778.849378851505
玩车教授	一汽-大众CC	34	50124.75239435758
玩车教授	欧诺	33	4388.251984389187
玩车教授	埃尔法	33	12682.38615393695
玩车教授	宝马X1	33	20997.44461360634
玩车教授	冠道	33	10922.150667839833
玩车教授	奥迪A3	33	27272.035779454287
玩车教授	普拉多	31	86798.23329481225
玩车教授	悦纳	30	314.21495256187586
玩车教授	揽胜	30	69510.05658281813
玩车教授	沃尔沃XC60	30	27442.92266735785
玩车教授	辉昂	29	6694.821526602885
玩车教授	皇冠	29	37326.25435237048
玩车教授	瑞风M3	27	175.47712944332662
玩车教授	宝马3系	26	23819.58788626178
玩车教授	宝马X3	26	27415.919305831987
玩车教授	辉腾	25	7789.315573027602
玩车教授	奥迪Q7	25	22826.96613843099
玩车教授	撼路者	25	12990.318624071822
玩车教授	奥迪Q5	25	62323.73587024735
玩车教授	宝马5系	24	79612.19613862487
玩车教授	凯迪拉克CT6	23	6096.2401697149135
玩车教授	奥迪A4L	23	27548.165541753617
玩车教授	奥迪A6L	22	24049.435844800784
玩车教授	红旗L5	22	19750.63331905099
玩车教授	东南DX7	22	5430.0380389135
玩车教授	奔驰C级	21	12115.958364606804
玩车教授	奔驰E级	19	25544.901154309817
玩车教授	哈弗H5	13	7446.322110102165
玩车教授	绅宝X35	13	1161.0987173310825
自媒体	name	匹配度	总停留时长
汽车头条	沃尔沃XC90	62	6873.873342832057
汽车头条	沃尔沃S90	62	13034.609969713421
汽车头条	沃尔沃XC60	51	27442.92266735785
汽车头条	观致3	50	14375.266645377378
汽车头条	博瑞	50	98401.56202605487
汽车头条	福克斯	49	27950.079470645163
汽车头条	标致4008	48	12211.737150392135
汽车头条	雷克萨斯RX	48	4175.279973582808
汽车头条	博越	48	82067.44560615408
汽车头条	途锐	48	14416.47243177195
汽车头条	标致3008	47	1352.0222445192162
汽车头条	Macan	47	7314.121223554143
汽车头条	荣威360	46	663.9629781302112
汽车头条	哈弗H1	44	1739.26217277544
汽车头条	雷克萨斯NX	44	4471.232972282248
汽车头条	明锐	43	19510.411982108817
汽车头条	红旗H7	43	2477.8749022599563
汽车头条	哈弗H6 Coupe	41	9645.629550302285
汽车头条	POLO	41	1985.9422459537677
汽车头条	艾瑞泽7	41	1899.2748152004162
汽车头条	哈弗H8	41	14799.872148969129
汽车头条	奥迪A7	41	1276.2148100141037
汽车头条	唐	41	31928.832370467277
汽车头条	揽胜极光	41	4704.212386861417
汽车头条	马自达MX-5	40	21265.24125850885
汽车头条	逸动	40	11893.744796869945
汽车头条	瑞虎3	40	4113.333224305898
汽车头条	起亚K5	40	1749.0062279832089
汽车头条	马自达CX-5	40	20568.87759633008
汽车头条	指南者	39	29081.114085842328
汽车头条	荣威RX5	39	65272.83369385158
汽车头条	马自达CX-4	39	3859.242537718805
汽车头条	风行S500	39	296.38403361344535
汽车头条	远景	39	47469.546440169994
汽车头条	宝马X6	39	10797.598538500082
汽车头条	翼虎	38	17959.270023640427
汽车头条	瑞纳	38	4790.166548195772
汽车头条	瑞风S2	38	3738.729607544531
汽车头条	大迈X5	38	609.4293439350239
汽车头条	途胜	38	6827.519048452928
汽车头条	奥迪Q3	38	12019.226856014908
汽车头条	思域	37	129027.18135808622
汽车头条	雷凌	37	26697.640358128596
汽车头条	高尔夫	37	11702.907171214754
汽车头条	杰德	37	11098.39018288563
汽车头条	凌渡	37	10692.993571476833
汽车头条	科雷傲	37	12580.881222798527
汽车头条	东风风光580	37	28785.412042944634
汽车头条	哈弗H9	37	55550.59460322808
汽车头条	比亚迪宋	37	52134.38688405187
汽车头条	起亚K2	36	1843.476838669656
汽车头条	威朗	36	7965.809930658502
汽车头条	Yeti	36	2591.366464077462
汽车头条	本田CR-V	36	123163.58562707296
汽车头条	冠道	36	10922.150667839833
汽车头条	科鲁兹	36	14582.04139815059
汽车头条	欧尚	35	33952.051896192614
汽车头条	速腾	35	81997.5186862966
汽车头条	RAV4荣放	35	20104.794167056192
汽车头条	阿特兹	35	19354.565056014737
汽车头条	马自达CX-9	34	5153.310831493249
汽车头条	启辰T90	34	8134.083945091544
汽车头条	奥德赛	34	44050.30152933279
汽车头条	长安CS35	34	14899.226982404081
汽车头条	埃尔法	34	12682.38615393695
汽车头条	比亚迪F3	34	7442.3877811985185
汽车头条	帝豪	34	170961.49404856117
汽车头条	宝马X5	34	19059.129894074325
汽车头条	艾瑞泽5	34	17413.942600891074
汽车头条	森雅R7	33	6813.108448106376
汽车头条	五菱宏光	33	158951.5069510951
汽车头条	传祺GS8	33	104570.12655087218
汽车头条	揽胜	33	69510.05658281813
汽车头条	别克GL8	33	43977.61921694236
汽车头条	北汽幻速S6	33	570.9310924866224
汽车头条	探险者	33	9835.90600127583
汽车头条	长安CX70	33	21712.13775961125
汽车头条	瑞虎5	32	17012.82514049775
汽车头条	途安	32	16173.080111778201
汽车头条	宝马X3	32	27415.919305831987
汽车头条	Panamera	32	12360.448936766976
汽车头条	奔驰S级	32	19502.394759337163
汽车头条	奥迪A8	32	8768.042823931175
汽车头条	奇骏	32	59765.016931774764
汽车头条	凯美瑞	32	87792.86082816165
汽车头条	东风风神AX7	32	4456.66948556787
汽车头条	飞度	32	74320.81444362082
汽车头条	宝来	31	45454.655130014304
汽车头条	蒙迪欧	31	13883.183848286299
汽车头条	哈弗H2	31	41060.639020885814
汽车头条	凯迪拉克CT6	31	6096.2401697149135
汽车头条	Tiguan	31	3891.5902984686295
汽车头条	Cayenne	31	10198.881471764673
汽车头条	秦	31	7566.559806278592
汽车头条	欧蓝德	31	51722.05262824871
汽车头条	锐腾	31	1961.7693767569624
汽车头条	菱智	30	3327.918290667365
汽车头条	宝骏730	30	112963.17653936797
汽车头条	猎豹CS10	30	4506.033854132786
汽车头条	北汽幻速S3	30	311.79443099273607
汽车头条	速派	30	11056.926049155338
汽车头条	汉兰达	30	335159.09838352323
汽车头条	众泰T600	30	14708.480319858074
汽车头条	哈弗H6	30	312328.1674664693
汽车头条	瑞风S3	30	23828.9579968033
汽车头条	朗逸	30	159256.584008563
汽车头条	宝马7系	30	13370.38760308017
汽车头条	总裁	30	1828.2223178086501
汽车头条	传祺GS4	30	94451.83031875402
汽车头条	陆风X7	29	5412.658960648971
汽车头条	起亚K3	29	1767.1890221478093
汽车头条	雪铁龙C6	29	5778.849378851505
汽车头条	景逸X5	29	8365.97033075153
汽车头条	科沃兹	29	2328.483194380925
汽车头条	哥瑞	29	816.3417146615003
汽车头条	雅阁	29	136508.81742039492
汽车头条	昂科威	29	37812.742398171074
汽车头条	凌派	29	8049.010221799942
汽车头条	宝马X1	29	20997.44461360634
汽车头条	途观	29	199840.0005117327
汽车头条	比亚迪S7	29	4553.625353802005
汽车头条	瑞风	28	1802.1089087013422
汽车头条	本田XR-V	28	20126.395957799683
汽车头条	马自达6	28	8281.037310610713
汽车头条	辉昂	28	6694.821526602885
汽车头条	天籁	28	12849.77627411729
汽车头条	朗动	28	3861.1001903527267
汽车头条	威驰	28	27643.704820026807
汽车头条	卡罗拉	28	142498.20157655008
汽车头条	宝骏560	28	70142.82480832722
汽车头条	逍客	27	66695.515784806
汽车头条	锐界	27	42480.379559113535
汽车头条	奥迪Q7	27	22826.96613843099
汽车头条	英朗	27	120498.22132318399
汽车头条	捷达	27	130471.63639030886
汽车头条	普拉多	27	86798.23329481225
汽车头条	迈锐宝	27	13758.314741304715
汽车头条	辉腾	26	7789.315573027602
汽车头条	福美来	26	2599.9033299703
汽车头条	奥迪Q5	26	62323.73587024735
汽车头条	牧马人	26	32201.11379964063
汽车头条	长安CS75	26	71107.76981113953
